name,address,city,latitude,longitude,,
Rauner [Special Collections] Library,6065 Webster Ave,"Hanover, NH",43.7056522,-72.2892457,,"Rauner [Special Collections] Library,6065 Webster Ave,""Hanover, NH"",43.7056522,-72.2892457,""6065 Webster Hall, Hanover, NH 03755"",,Bing Maps,address"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
"Lynn, Massachusetts",,"Lynn, MA",42.4668,70.9495,,"Lynn, Massachusetts,,""Lynn, MA"",,,""Lynn, MA"",,Bing Maps,"
Swampscott,,"Swampscott, MA",42.4709,70.9176,,"Swampscott,,""Swampscott, MA"",,,""Swampscott, MA"",,Bing Maps,"
"Swampscott, Massachusetts",,"Swampscott, MA",42.4709,70.9176,,"Swampscott, Massachusetts,,""Swampscott, MA"",,,""Swampscott, MA"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Swampscott,,"Swampscott, MA",42.4709,70.9176,,"Swampscott,,""Swampscott, MA"",,,""Swampscott, MA"",,Bing Maps,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Maine,,,45.2538,69.4455,,"Maine,,,,,-,,"
Cape [Cape Cod],,,41.6688,70.2962,,"Cape [Cape Cod],,,,,-,,"
New Hampshire,,,43.1939,71.5724,,"New Hampshire,,,,,-,,"
New Jersey,,,40.0583,74.4057,,"New Jersey,,,,,-,,"
Bowdoin College,,"Brunswick, ME",43.9077,69.964,,"Bowdoin College,,""Brunswick, ME"",,,""Brunswick, ME"",,Bing Maps,"
"Brunswick, Maine",,"Brunswick, ME",43.914,69.967,,"Brunswick, Maine,,""Brunswick, ME"",,,""Brunswick, ME"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Lynn,,"Lynn, MA",42.4668,70.9495,,"Lynn,,""Lynn, MA"",,,""Lynn, MA"",,Bing Maps,"
Lynn,,"Lynn, MA",42.4668,70.9495,,"Lynn,,""Lynn, MA"",,,""Lynn, MA"",,Bing Maps,"
Lynn,,"Lynn, MA",42.4668,70.9495,,"Lynn,,""Lynn, MA"",,,""Lynn, MA"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
New Hampshire,,,43.1939,71.5724,,"New Hampshire,,,,,-,,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Boston,,,42.3601,71.0589,,"Boston,,,,,-,,"
West Point,,"West Point, NY",41.3915,73.956,,"West Point,,""West Point, NY"",,,""West Point, NY"",,Bing Maps,"
Mount Moosilauke,,"Benton, NH",44.0245,71.8309,,"Mount Moosilauke,,""Benton, NH"",,,""Benton, NH"",,Bing Maps,"
Moosilauke,,"Benton, NH",44.0245,71.8309,,"Moosilauke,,""Benton, NH"",,,""Benton, NH"",,Bing Maps,"
Moosilauke,,"Benton, NH",44.0245,71.8309,,"Moosilauke,,""Benton, NH"",,,""Benton, NH"",,Bing Maps,"
[Second College] Grant,,,,,,"[Second College] Grant,,,,,-,,"
UMass [University of Massachusetts],,"Amherst, MA",42.3868,72.5301,,"UMass [University of Massachusetts],,,,,-,,"
Massachusetts Hall,12 Mass Row,"Hanover, NH",43.7034068,-72.290392,,"Massachusetts Hall,12 Mass Row,""Hanover, NH"",43.7034068,-72.290392,""12 Mass Row, Hanover, NH 03755"",,Bing Maps,address"
Thayer Hall,,"Hanover, NH",43.7046,72.2943,,"Thayer Hall,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
The mural room,6025 Main St,"Hanover, NH",43.700465,-72.2895,,"The mural room,6025 Main St,""Hanover, NH"",43.700465,-72.2895,""S Main St, Hanover, NH 03755"",,Bing Maps,street"
Long Island,,,40.7891,73.135,,"Long Island,,,,,-,,"
"Garden City, Long Island [New York]",,"Garden City, NY",40.7268,73.6343,,"Garden City, Long Island [New York],,""Garden City, NY"",,,""Garden City, NY"",,Bing Maps,"
the Connecticut River,,,45.1453,71.1251,,"the Connecticut River,,,,,-,,"
Mount Ascutney,,,43.4445,72.4537,,"Mount Ascutney,,,,,-,,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Hanover,,"Hanover, NH",43.7022,72.2896,,"Hanover,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Hanover,,"Hanover, NH",43.7022,72.2896,,"Hanover,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
College Hall,,"Hanover, NH",43.7022,72.2896,,"College Hall,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Wellesley [College],,"Wellesley, MA",42.2936,71.3059,,"Wellesley [College],,""Wellesley, MA"",,,""Wellesley, MA"",,Bing Maps,"
Skidmore [College],,"Saratoga Springs, NY",43.0957,73.7857,,"Skidmore [College],,""Saratoga Springs, NY"",,,""Saratoga Springs, NY"",,Bing Maps,"
"Colby [Junior College, now Colby-Sawyer College]",,"New London, NH",43.4121,71.978,,"Colby [Junior College, now Colby-Sawyer College],,""New London, NH"",,,""New London, NH"",,Bing Maps,"
Green Mountain Junior College [now Green Mountain College],,"Poultney, VT",43.5167,73.2442,,"Green Mountain Junior College [now Green Mountain College],,""Poultney, VT"",,,""Poultney, VT"",,Bing Maps,"
"Heorot [Chi Heorot, formerly Chi Phi] House",,"Hanover, NH",43.7022,72.2896,,"Heorot [Chi Heorot, formerly Chi Phi] House,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Colby,,"New London, NH",43.4121,71.978,,"Colby,,""New London, NH"",,,""New London, NH"",,Bing Maps,"
Green Mountain,,"Poultney, VT",43.5167,73.2442,,"Green Mountain,,""Poultney, VT"",,,""Poultney, VT"",,Bing Maps,"
"Saratoga [Springs, New York]",,"Saratoga Springs, NY",43.0831,73.7846,,"Saratoga [Springs, New York],,""Saratoga Springs, NY"",,,""Saratoga Springs, NY"",,Bing Maps,"
Smith,,"Northampton, MA",42.3163,72.6403,,"Smith,,""Northampton, MA"",,,""Northampton, MA"",,Bing Maps,"
the Hop [Hopkins Center for the Arts],4 E Wheelock St,"Hanover, NH",43.701802,-72.287059,,"the Hop [Hopkins Center for the Arts],4 E Wheelock St,""Hanover, NH"",43.701802,-72.287059,""4 E Wheelock St, Hanover, NH 03755"",,Bing Maps,address"
the Hop,4 E Wheelock St,"Hanover, NH",43.701802,-72.287059,,"the Hop,4 E Wheelock St,""Hanover, NH"",43.701802,-72.287059,""4 E Wheelock St, Hanover, NH 03755"",,Bing Maps,address"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Chi Phi,,"Hanover, NH",43.7022,72.2896,,"Chi Phi,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Hanover,,"Hanover, NH",43.7022,72.2896,,"Hanover,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Thayer Hall,,"Hanover, NH",43.7046,72.2943,,"Thayer Hall,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Vietnam,,,14.0583,108.2772,,"Vietnam,,,,,-,,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
"Quantico [Marine Cops Base Quantico, in Virginia]",,"Quantico, VA",38.5199,77.3152,,"Quantico [Marine Cops Base Quantico, in Virginia],,""Quantico, VA"",,,""Quantico, VA"",,Bing Maps,"
Quantico,,"Quantico, VA",38.5229,77.2901,,"Quantico,,""Quantico, VA"",,,""Quantico, VA"",,Bing Maps,"
The BEMA [Big Empty Meeting Area],,"Hanover, NH",43.7052,72.2845,,"The BEMA [Big Empty Meeting Area],,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Dartmouth,,"Hanover, NH",43.7022,72.2896,,"Dartmouth,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
"Quantico, Virginia",,"Quantico, VA",38.5229,77.2901,,"Quantico, Virginia,,""Quantico, VA"",,,""Quantico, VA"",,Bing Maps,"
Kansas,,,39.0119,98.4842,,"Kansas,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Quantico,,"Quantico, VA",38.5199,77.3152,,"Quantico,,""Quantico, VA"",,,""Quantico, VA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
San Francisco,,"San Francisco, CA",37.7749,122.4194,,"San Francisco,,""San Francisco, CA"",,,""San Francisco, CA"",,Bing Maps,"
San Francisco,,"San Francisco, CA",37.7749,122.4194,,"San Francisco,,""San Francisco, CA"",,,""San Francisco, CA"",,Bing Maps,"
San Francisco,,"San Francisco, CA",37.7749,122.4194,,"San Francisco,,""San Francisco, CA"",,,""San Francisco, CA"",,Bing Maps,"
International Date Line,,,,,,"International Date Line,,,,,-,,"
"Okinawa [Islands, Japan]",,,26.1202,127.7025,,"Okinawa [Islands, Japan],,,,,-,,"
Okinawa,,,26.1202,127.7025,,"Okinawa,,,,,-,,"
Okinawa,,,26.1202,127.7025,,"Okinawa,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Okinawa,,,26.1202,127.7025,,"Okinawa,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
I Corps,,,,,,"I Corps,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
I Corps,,,,,,"I Corps,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
DMZ [Demilitarized Zone],,,,,,"DMZ [Demilitarized Zone],,,,,-,,"
Đông Hà,,Dong Ha,16.8089,107.0894,,"Đông Hà,,Dong Ha,16.8234406,107.1000519,""Dong Ha, Vietnam"",,Bing Maps,city/town"
Huế,,Hue,16.4637,107.5909,,"Huế,,Hue,16.4666481,107.5847092,""Hue, Vietnam"",,Bing Maps,city/town"
[National] Route 9,,,,,,"[National] Route 9,,,,,-,,"
I Corps,,,,,,"I Corps,,,,,-,,"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Điện Biên Phủ,,Dien Bien Phu,21.4064,103.0322,,"Điện Biên Phủ,,Dien Bien Phu,21.4060097,103.031517,""Dien Bien Phu, Vietnam"",,Bing Maps,city/town"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Hill 68,,,,,,"Hill 68,,,,,-,,"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Rauner Library,,"Hanover, NH",43.7056522,-72.2892457,,"Rauner Library,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
"Hanover, New Hampshire",,"Hanover, NH",43.7022,72.2896,,"Hanover, New Hampshire,,""Hanover, NH"",,,""Hanover, NH"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
North Vietnam,,,21.016,105.5059,,"North Vietnam,,,,,-,,"
Hồ Chí Minh trail,,,,,,"Hồ Chí Minh trail,,,,,-,,"
North Vietnam,,,21.016,105.5059,,"North Vietnam,,,,,-,,"
Laotian border,,,,,,"Laotian border,,,,,-,,"
Laotian border,,,,,,"Laotian border,,,,,-,,"
South Vietnam,,,10.45,106.4,,"South Vietnam,,,,,-,,"
Đông Hà,,Dong Ha,16.8089,107.0894,,"Đông Hà,,Dong Ha,16.8234406,107.1000519,""Dong Ha, Vietnam"",,Bing Maps,city/town"
Hawaii,,,19.8968,155.5828,,"Hawaii,,,,,-,,"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Đông Hà,,Dong Ha,16.8089,107.0894,,"Đông Hà,,Dong Ha,16.8234406,107.1000519,""Dong Ha, Vietnam"",,Bing Maps,city/town"
Da Nang,,Da Nang,16.0544,108.2022,,"Da Nang,,Da Nang,16.0479698,108.2107086,""Đà Nang, Vietnam"",,Bing Maps,city/town"
Da Nang,,Da Nang,16.0544,108.2022,,"Da Nang,,Da Nang,16.0479698,108.2107086,""Đà Nang, Vietnam"",,Bing Maps,city/town"
Da Nang,,Da Nang,16.0544,108.2022,,"Da Nang,,Da Nang,16.0479698,108.2107086,""Đà Nang, Vietnam"",,Bing Maps,city/town"
Đông Hà,,Dong Ha,16.8089,107.0894,,"Đông Hà,,Dong Ha,16.8234406,107.1000519,""Dong Ha, Vietnam"",,Bing Maps,city/town"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Okinawa,,,26.1202,127.7025,,"Okinawa,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
"Newport, Rhode Island",,"Newport, RI",41.4901,71.3128,,"Newport, Rhode Island,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
"Dorchester, Massachusetts",,"Dorchester, MA",42.3016,71.0676,,"Dorchester, Massachusetts,,""Dorchester, MA"",,,""Dorchester, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
"Fredericksburg, Virginia",,"Fredericksburg, VA",38.3032,77.4605,,"Fredericksburg, Virginia,,""Fredericksburg, VA"",,,""Fredericksburg, VA"",,Bing Maps,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"